Index,Word,Romaji,Meaning,Page Link,Page Number,Detailed Info
201,ようと思う,youtoomou,The speaker desires or decides to do something.~ think ~ will,entries/202.html,B. 569,"{'Explanation': 'Spoiler English example sentencesThe speaker desires or decides to do something.~ think ~ will', 'Example Sentences': [('私は日本歴史を読もうと思う・思います。', 'I think I will read Japanese history (books).'), ('私はもう酒を飲むまいと思う・思います。', 'I think I will not drink alcohol any longer.'), ('夏休みに日本アルプスに登ろうと思います。', 'I think I will climb the Japan Alps during summer vacation.'), ('森さんはワープロを買おうと思っています。', 'Mr. Mori is thinking of buying a word processor.'), ('僕はあの人とはもう話すまいと思う。', ""I think I won't talk to that person any more."")], 'Image Notes': 'https://postautistic.github.io/img/Basicようと思う.png'}"
202,ずつ,zutsu,A particle that indicates equal distribution of quantity.By; at a time.,entries/203.html,B. 572,"{'Explanation': 'Spoiler English example sentencesA particle that indicates equal distribution of quantity.By; at a time.', 'Example Sentences': [('私は漢字を毎日五つずつ覚える・覚えます。', 'I memorize five kanji every day.'), ('毎月三冊ずつ本を買っています。', ""I'm buying three books per month.""), ('ゴルフが少しずつ上手になって来た。', 'I have become a better golfer bit by bit.'), ('私は子供達に本を二冊ずつやった。', 'I gave two books to each of the children.'), ('どのクラスにも女子学生が六人ずついた。', 'There were six girl students in each class.')], 'Image Notes': 'https://postautistic.github.io/img/Basicずつ.png'}"
203,あまり,amari,A conjunction which marks a cause that involves excessive action.Because of too much ~; because ~ too much; so ~ that ~,entries/204.html,I. 3,"{'Explanation': 'No explanation available', 'Example Sentences': [('私はその晩興奮のあまり寝られなかった。', ""I was so excited that I couldn't sleep that  night.""), ('この教科書は文法を重視するあまり面白くないものになってしまった。', 'This textbook has turned out to be an  uninteresting one because it stressed grammar too much.'), ('秋子は恐怖のあまり声も出なかった。', ""Akiko was so frightened that she couldn't  even make a sound.""), ('私は喜びのあまり思わず隣の人に抱きついてしまった。', 'I was so happy that I hugged the person  beside me without thinking.'), ('日本の英語教育は文法が強調されるあまり会話力の養成が疎かになっているようだ。', 'As for English education in Japan, it seems  that because grammar is emphasized too much, the development of  conversational skills is neglected.'), ('今度の会合は形式を重んずるあまり内容が乏しくなってしまった。', 'The last meeting ended up having little  content because it focused too much on formalities.')], 'Image Notes': 'https://postautistic.github.io/img/Intermediateあまり.png'}"
204,~ば~ほど,bahodo,"A structure indicating that something happens in proportion to the increase of extent/degree of action or state.The more ~, the more ~",entries/205.html,I. 6,"{'Explanation': 'No explanation available', 'Example Sentences': [('日本語は勉強すれば（勉強）するほど面白くなります。', 'The harder you study Japanese, the more  interesting it will become.'), ('パーティーは人が多ければ多いほど楽しい。', 'At a party the more the merrier.'), ('機械は簡単{であればある/なら簡単な}ほど壊れにくい。', 'A machine is harder to break, the simpler it  is.'), ('この酒は飲めば飲むほど美味しくなります。', 'The more you drink this sake, the tastier it  becomes.'), ('大学はよければよいほど入るのが難しいです。', 'The better the university, the harder it is  to get in.'), ('アパートは駅に近ければ近いほど（家賃が）高い。', 'The closer apartments are to the station, the  more expensive they are (to rent).'), ('普段元気なら元気なほど体に気を付けた方がいいですよ。', 'The healthier you are, the more careful you  should be about your health.')], 'Image Notes': 'https://postautistic.github.io/img/Intermediateば～ほど.png'}"
205,~ばかりか~（さえ）,bakarikasae,"A compound particle/conjunction which is used to connect two nouns or two sentences, the first of which is something normally expected and the second of which is something normally unexpected.Not only ~ but also",entries/206.html,I. 8,"{'Explanation': 'No explanation available', 'Example Sentences': [('日本では子供ばかりか大人さえ漫画を読んでいる。', 'In Japan not only children but even adults  are reading comic books.'), ('あの人は絵を見て楽しむばかりか、自分でも絵を描く。', 'He not only enjoys looking at pictures; he  also draws them.'), ('アメリカでは大学生ばかりか、中学生、高校生さえ日本語を勉強している。', 'In America not only college students but even  junior and senior high school students are studying Japanese.'), ('僕の寮の部屋は狭いばかりか、窓さえないんです。', ""My room in the dorm is not just small; it  doesn't even have a window.""), ('トムは漢字が読めないばかりか、平仮名さえ読めない。', ""It's not just kanji that Tom cannot read; he  cannot read even hiragana.""), ('父は食べるのが大好きなばかりか、料理をするのも大好きです。', 'My father not only loves to eat, he also  loves to cook.')], 'Image Notes': 'https://postautistic.github.io/img/Intermediateばかりか～さえ.png'}"
206,べきだ,bekida,An auxiliary which expresses the speaker's judgment that someone/something should do something or should be in some state.Should; ought to,entries/207.html,I. 11,"{'Explanation': 'No explanation available', 'Example Sentences': [('この論文は書き直すべきだ。', 'This thesis should be rewritten.'), ('そんなことを人に言うべき{では/じゃ}ありません。', ""You shouldn't say that kind of thing to  people.""), ('君も来るべきでしたよ。', 'You should have come, too.'), ('山田には話すべき{では/じゃ}なかった。', ""I shouldn't have told that to Yamada.""), ('話すべきことは全部話しました。', 'I told you everything I should tell you.'), ('自分のことは自分です（る）べきだ。', 'You should look after yourself. (literally:  You should do your own business by yourself.)'), ('今、家を買うべきじゃないよ。', ""You shouldn't buy a house now.""), ('それは課長にも言っておくべきだったね。', ""We should have told that to our boss, too,  shouldn't we?""), ('彼は結婚なんかす（る）べきじゃなかったんだ。', ""He shouldn't have married.""), ('我々はもっと創造的であるべきだ。', 'We should be more creative.'), ('この状態が現実であるべきだ。', 'This state should be the reality.'), ('調査の結果、驚くべきことが分かった。', 'As a result of the investigation, a  surprising thing (literally: something one should be surprised at) was discovered.'), ('田中は全く軽蔑すべき男だ。', 'Tanaka is indeed a despicable man (literally:  a man whom one should despise).'), ('あるべき所に記述がない。', ""There's no description where there should be  one."")], 'Image Notes': 'https://postautistic.github.io/img/Intermediateべきだ.png'}"
207,分,bun,A suffix which indicates the amount of something.For ~; ~ worth; amount equivalent to ~; portion,entries/208.html,I. 16,"{'Explanation': 'No explanation available', 'Example Sentences': [('ガソリンを十ドル分入れておきました。', 'I put in ten dollars worth of gas.'), ('私は今日三日分の仕事を片付けた。', 'Today I did three days worth of work.'), ('現金の不足分は小切手で払います。', ""I'll pay the remaining amount (literally: the  amount for which cash is short) by check.""), ('会議の資料を六人分用意しておいて下さい。', 'Please get six sets of materials ready for  the meeting.'), ('ここは後でサインをしますので二行分あけておいて下さい。', 'Please leave two lines (of space) here  because someone will sign there later.'), ('私達は四か月分のボーナスをまらった。', 'We were paid a bonus equivalent to four  months pay.'), ('トラック三台分のごみが出た。', 'Three trucks-full of garbage came out.'), ('政府は十万人分の食糧を被災地に送った。', 'The government sent food for 100,000 people  to the disaster-stricken area.'), ('学校当局は諸経費の増加分を授業料の値上げでカバーしようとしている。', 'The school authorities are trying to cover  the increase in expenses by raising tuition.')], 'Image Notes': 'https://postautistic.github.io/img/Intermediate分.png'}"
208,だが,daga,A conjunction that expresses something that is contrasted with what is expressed in the previous sentence.But; however; yet; nevertheless,entries/209.html,I. 18,"{'Explanation': 'No explanation available', 'Example Sentences': [('日本の経済力は伸びている。だが、いつまで続くかは分からない。', ""Japanese economic power is growing, but we  can't tell how long it will last.""), ('都会の生活は便利だ。だが、ストレスが多すぎる。', 'Urban life is convenient. But there are too  many stresses.'), ('私は彼女とは初めて会った。だが、前から知っていたような親しみを感じた。', 'I met her for the first time; but I felt  close to her as if I had known her for a long time.'), ('山本は医者に何度も煙草を辞めるように言われた。だが、辞める気はないらしい。', ""Yamamoto was told by his doctor to quit  smoking, but he doesn't seem to have any intention of quitting.""), ('あの人には才能がある。だが、その才能を使っていない。', 'He is talented, but he is not using his  talents.'), ('今日の試験のために寝ないで勉強した。だが、さっぱり出来なかった。', ""I studied hard for today's exam without  sleeping, but I couldn't do it at all.""), ('妹はよく勉強するし、頭もいい。だが、成績はなぜかよくない。', 'My younger sister studies hard  and she is intelligent, but somehow her grades are not good.')], 'Image Notes': 'https://postautistic.github.io/img/Intermediateだが.png'}"
209,だからと言って,dakaratoitte,"A coordinate conjunction indicating that even if one accepts a premise expressed in the preceding sentence(s) one cannot jump to an expected conclusion from the premise.However, it doesn't follow from this that ~; but it doesn't mean that ~; because of that",entries/210.html,I. 21,"{'Explanation': 'No explanation available', 'Example Sentences': [('チェンさんは日本語が苦手だ。テストではいつも半分も出来ない。だからと言って、頭が悪いわけではない。', ""Mr. Cheng is not good at Japanese. On a test  he cannot even finish half of it. But it doesn't follow from this that he is  not smart.""), ('吉田さんは日本人だ。しかも、小説家だ。だからと言って、日本語が教えられるとは限らない。', 'Ms. Yoshida is Japanese. And she is a  novelist. But she may not be able to teach Japanese.'), ('ジョンは奥さんのことをちっとも褒めない。時々口をきかないこともある。だからと言って、奥さんを愛していないわけではない。', ""John does not praise his wife at all.  Sometimes he doesn't talk with her. But it doesn't mean that he doesn't love  her.""), ('僕は毎日運動をしている。食べ物にも注意している。しかし、だからと言って、長生きする保証はない。', ""I am doing exercise every day. I am also  paying attention to what I eat. But it doesn't guarantee  that I will live long.""), ('日本人は集団行動が好きだと言われる。何をするにも一緒にやる。しかし、だからと言って、個人行動が全くないわけではない。', 'They say that Japanese like group activities.  Whatever they do, they do together. But it is not the case that there are no  individual activities.'), ('魚は健康にいい。しかし、だからと言って、魚ばかり食べていたら、体に悪いはずだ。', 'Fish is good for you. But if you ate nothing  but fish, it would be bad for you.'), ('日本語はよく難しい言語だと言われる。文法が複雑だし、漢字を覚えるのも大変だ。だからと言って、外国人が学べないわけではない。', ""Japanese is often said to be difficult. The  grammar is complex and kanji are hard to memorize. But that doesn't mean  foreigners cannot learn it."")], 'Image Notes': 'https://postautistic.github.io/img/Intermediateだからと言って.png'}"
210,だけで,dakede,A phrase which expresses the idea that just doing something is enough for something.Just V-ing is enough; can just ~; just by V-ing,entries/211.html,I. 23,"{'Explanation': 'No explanation available', 'Example Sentences': [('君はここに座っているだけでよい。', 'You can just sit (literally: be sitting)  here.'), ('私は筆跡を見ただけで誰が書いたか分かった。', 'I knew who wrote it just by looking at the  handwriting.'), ('この植木は二週間に一度水をやるだけでよい。', 'Watering just once every other week is enough  for this plant.'), ('この用紙にサインしていただくだけで結構です。', 'It will be enough if you just sign this form.'), ('本当に来るだけでいいんですか。', ""Are you sure that I don't have to do anything  except attend?""), ('その会議では私はただ座っているだけでよかった。', 'At that meeting all I had to do was sit  there.'), ('村上君は一週間勉強しただけであの試験に通ったそうだ。', 'I heard that Murakami passed that exam just  by studying for one week.'), ('お金を入れてボタンを押すだけで暖かいラーメンが出てくる自動販売機がある。', 'There is a vending machine which serves hot  ramen (literally: from which hot ramen comes out) just by inserting coins and  pushing a button.'), ('頭金一万円を払うだけで品物をお届けします。', ""If you just pay 10,000 yen as deposit, we'll  deliver the product.""), ('聞くだけで胸が悪くなるような話だ。', 'Just hearing that story makes me sick.  (literally: It is a story that makes me sick just by hearing it.)')], 'Image Notes': 'https://postautistic.github.io/img/Intermediateだけで.png'}"
211,だらけ,darake,A suffix that indicates that something/someone is covered or filled with something undesirable.Full of; filled with; covered with,entries/212.html,I. 25,"{'Explanation': 'No explanation available', 'Example Sentences': [('スミスさんはいつも泥だらけの靴を履いています。', 'Mr. Smith is always wearing shoes covered  with mud.'), ('この作文は間違いだらけです。', 'This composition is full of mistakes.'), ('長いこと掃除をしていなかったらしく、床も机の上もほこりだらけだった。', 'Apparently they have not cleaned the room for  a long time and the floor and the tables were covered with dust.'), ('病院に担ぎ込んだ時、その男の顔は血だらけだった。', ""When we carried him into the hospital, the  man's face was covered with blood.""), ('泥だらけの足で入って来ないで。', ""Don't come in with muddy feet.""), ('借金だらけの生活をしています。', 'I am living a life with many debts.'), ('この貝は砂だらけで食べにくい。', 'This seashell contains a lot of sand, so  eating is difficult.')], 'Image Notes': 'https://postautistic.github.io/img/Intermediateだらけ.png'}"
212,で,de,"A particle which indicates a basic quantity, for each of which certain amount is associated.For; per",entries/213.html,I. 27,"{'Explanation': 'No explanation available', 'Example Sentences': [('この翻訳は一ページで二千円お払いします。', 'We will pay 2.000 yen per page for this  translation.'), ('このアルバイトは一時間で千円払ってくれます。', 'They will pay me 1,000 yen per hour for this  part-time job.'), ('昨日は一日で本を五百ページ読んだ。', 'Yesterday I read 500 pages in a day.'), ('食べて飲んで、五人で、七万ぐらいでした。', 'We ate and drank and it cost us about 70,000  yen for five persons.'), ('この林檎は一山で二百円です。', 'These apples are 200 yen for one pile.')], 'Image Notes': 'https://postautistic.github.io/img/Intermediateで.png'}"
213,であろう,dearou,An auxiliary which indicates the writer's conjecture which is not based on any particular information or evidence.Probably,entries/214.html,I. 29,"{'Explanation': 'No explanation available', 'Example Sentences': [('日本経済は今後も成長を続けるであろう。', 'The Japanese economy will probably still keep  growing (literally: from now on, too).'), ('このようなブームはもう二度と起こらないであろう。', 'Such a boom will probably not happen again.'), ('この次に起こる地震は非常に大きいであろうと予想される。', 'It is expected that the next earthquake will  (probably) be very strong.'), ('その交渉は極めて困難であろう。', 'That negotiation will probably be very  difficult.'), ('この辺りは昔、湖だったであろうと思われる。', 'I think that this area was probably a lake a  long time ago.')], 'Image Notes': 'https://postautistic.github.io/img/Intermediateであろう.png'}"
214,である,dearu,A copula which is used in formal writing and formal speech.Be,entries/215.html,I. 31,"{'Explanation': 'No explanation available', 'Example Sentences': [('「坊っちゃん」は漱石の初期の代表作である。', ""Botchan is representative of Soseki's early  work.""), ('今年の水不足は極めて深刻である。', 'The water shortage this year is extremely  serious.'), ('人間は考える葦である。', '“Man is a thinking reed.”'), ('日本語があいまいな言語であるというのは誤りである。', '(The idea) that Japanese is an ambiguous  language is wrong.'), ('大型車に一人で乗るのは不経済である。', 'Using a big car for one person is  uneconomical.'), ('彼に何度も手紙を書いたが無駄であった。', 'I wrote him many letters but it was useless.'), ('日本語では文脈から分かることは原則として言わないのである。', 'In principle, in Japanese we do not say what  is understood from context.'), ('彼らが出来ないのは練習していないからである。', ""It is because they haven't practiced that they  can't do it."")], 'Image Notes': 'https://postautistic.github.io/img/Intermediateである.png'}"
215,どころか,dokoroka,A conjunction indicating that someone/something is very far from an expected state.Far from; not just; even,entries/216.html,I. 34,"{'Explanation': 'No explanation available', 'Example Sentences': [('私は日本語が話せるどころか、一度も勉強したことがありません。', ""I am far from being able to speak Japanese. I  haven't studied it at all.""), ('ジムは日本語の会話が出来ないどころか、簡単なあいさつも出来ない。', 'Jim is not just unable to converse in  Japanese; he cannot even make simple greetings.'), ('スミスさんは日本語の新聞が読めるどころか、平仮名も知らない。', ""Mr. Smith is far from  being able to read a Japanese newspaper; he doesn't even know hiragana.""), ('ジョンソンさんは漢字が書けないどころか、平仮名も書けない。', 'Mr. Johnson is not  just unable to write kanji; he cannot write even hiragana.'), ('スミスさんは日本語が書けないどころか、日本語で小説が書けるぐらいだ。', 'Mr. Smith is far from being unable to write  Japanese; he can even write a novel in Japanese.'), ('クラークさんは刺し身が食べられるどころか、納豆まで食べられる。', 'Mr. Clark is not just able to eat sashimi; he  can even eat nattou.'), ('あの人は本を読むどころか、新間も読まない。', ""He is far from reading books; he doesn't even  read newspapers.""), ('父は運動をするどころか、家から一歩も出ない。', ""My father is far from doing exercises; he  doesn't even step out of the house.""), ('今年の八月は暑いどころか、寒かった。', 'This August was far from being hot; it was  cold.'), ('私の父は丈夫(な)どころか、寝たきりです。', 'My father is far from being healthy; he is  bedridden.'), ('食事はご馳走どころか、豚のえさみたいだった。', 'The meal was far from being a feast; it was  like food for pigs.')], 'Image Notes': 'https://postautistic.github.io/img/Intermediateどころか.png'}"
216,どうも,doumo,An adverb to indicate that one cannot make a definite statement about something due to lack of hard evidence.I don't know why but; I cannot manage to; just; from what I gather; seem; no matter how ~; I gather that ~; for some reason,entries/217.html,I. 36,"{'Explanation': 'No explanation available', 'Example Sentences': [('この文の意昧がどうもよく分からない。', 'I tried, but I cannot understand the meaning  of this Japanese sentence very well.'), ('鈴木さんはどうも京都大学に入りたいらしい。', 'I gather that Mr. Suzuki wants to enter Kyoto  University.'), ('あの先生の授業はどうも面白くない。', ""I don't know why, but that instructor's class  is uninteresting.""), ('このごろどうも体の詞子がよくないんです。', ""I don't know why, but lately I don't feel  very good.""), ('あの人の日本語はどうも聞きにくい。', ""I don't know why, but his Japanese is hard to  listen to.""), ('先生、この間題の意味がどうもつかめないんです。', ""Professor, I can't manage to grasp the intent  of this problem.""), ('こんな田舎に住むのはどうも不便だ。', 'It is just inconvenient to live in such  countryside.'), ('うちの子はテレビばかり見て、どうも本を読まない。', ""I don't know why, but our kids are always  watching TV and do not read books.""), ('あの先生はどうも厳しいようだ。', 'That teacher seems strict to me.'), ('ジョンは日本語を話すのは上手だが、読むのはどうも下手なようです。', 'John is good at speaking Japanese but for  some reason he seems poor at reading it.'), ('その男がどうも犯人に違いないと思っていたが、やっぱりそうだった。', 'I gathered that he must be the one who did  it, and my guess was right.'), ('父は症状からしてどうもがんになったらしい。', 'Judging from the symptoms my father seems to  have cancer.'), ('彼女が今朝電車の中で僕に言ったことがどうも気になった。', 'What she said to me this morning in the train  somehow bothered me.')], 'Image Notes': 'https://postautistic.github.io/img/Intermediateどうも.png'}"
217,どんなに~（こと）か,donnanikotoka,A structure that indicates an exclamation about the degree to which an action or state takes/took place.How ~ (!),entries/218.html,I. 39,"{'Explanation': 'No explanation available', 'Example Sentences': [('兄は病気が治ってどんなに嬉しかったことか。', 'How glad my elder brother was when he  recovered from his illness!'), ('父は母をどんなに愛していたことか。', 'How dearly my father loved my mother!'), ('日本へ行くまで日本がどんなに狭いか分からなかった。', ""I didn't realise how small Japan was until I  got to Japan.""), ('英夫は由美子に結婚を断られた時にどんなに残念に思ったことか。', 'How disappointed Hideo must have felt when  Yumiko refused to marry him.'), ('勉強が嫌いだった良夫には大学に入るのがどんなに難しかったか。', ""For Yoshio, who didn't like to study, how  hard it was to enter college!""), ('圭子はどんなにフランスに留学したかったことか！', 'How strongly Keiko wanted to go to France!'), ('学生達はその厳しい先生をどんなに強く憎んだことか！', 'How strongly the students hated their strict  teacher!'), ('駅前のアパートはどんなに便利だったことか！', 'How convenient my apartment right in front of  the station was!'), ('一郎は親のもとを離れた時、親がどんなに寂しがったか分からなかった。', ""Ichiro didn't realise how lonely his parents  must have felt when he left them."")], 'Image Notes': 'https://postautistic.github.io/img/Intermediateどんなに～(こと)か.png'}"
218,どうせ,douse,"An adverb that indicates the speaker/writer's feeling that no matter what s/he does or how s/he does it, the situation will not change.In any case; anyway; at all events; after all; at all",entries/219.html,I. 41,"{'Explanation': 'No explanation available', 'Example Sentences': [('受けても、どうせ、駄目だから、文部省の留学生試験を受けないことにしました。', ""I decided not to try for the Education  Ministry's Scholarship, because I'd be doomed to failure.""), ('どうせ外国旅行をするんなら、若いうちにした方がいい。', ""If you make a trip abroad at all, it's better  to do it when you are young.""), ('どうせこんな沢山の宿題、出来るわけがないから、遊ぶことにしたよ。', ""I cannot do this much homework anyway, so  I've decided to play.""), ('人間はどうせ死ぬんだから、あくせく働いても仕方がない。', 'Since we humans are bound to die, it is no  use working hard.'), ('どうせ捨てられるのに、どうして彼の後を追うの?', 'Why are you following him, when you are well  aware that you are going to be dumped after all?'), ('どうせあの女性とは結婚出来ないよ。早くあきらめた方がいいよ。', ""You cannot marry that woman anyway. You'd  better give her up as soon as possible.""), ('Ａ：君はこんなことが分からないのかい?  Ｂ：どうせ私は馬鹿ですよ。', ""A: Don't you understand this simple matter?       B: I'm stupid, as you know.""), ('どうせ来週日本へ行きますから、その辞書は日本で買います。', ""I'm going to Japan next week anyway, so I'll  buy that dictionary over there."")], 'Image Notes': 'https://postautistic.github.io/img/Intermediateどうせ.png'}"
219,風に,funi,With an appearance/style/tone/manner of ~.In ~ manner; after ~ style; a la ~; like,entries/220.html,I. 44,"{'Explanation': 'No explanation available', 'Example Sentences': [('私の家の庭は日本風に大きい石が置いてあります。', 'The yard of my house has big rocks arranged  in Japanese style.'), ('あんな風に勉強していたらいい成績は取れないだろう。', ""If he studies like that, he won't get good  grades.""), ('私は先生に頭がいいんだからもっと勉強しろという風によく言われた。', 'I was often told by my teacher that I have to  study harder because I am smart.'), ('Ａ：これはどんな風に持ったらいいんですか。      Ｂ：こんな風に持って下さい。', 'A: How should I hold this?         B: Please hold it like this.'), ('あんな風に毎日飲んでいたら、きっと病気になるでしょう。', 'If he keeps drinking like that every day, he  will surely become ill.'), ('このカレーライスはインド風に、とても辛くしてあります。', 'We have made this curried rice very spicy  like an Indian version.'), ('ジェミーが日本風のお辞儀をした時にはびっくりした。', 'I was surprised when Jemmy bowed in Japanese  style.'), ('京子は、今日はお花、あすはダンスという風に、毎日何かを習いに行っている。', 'Kyoko goes out every day to take lessons,  like flower arrangement one day and dance, the next.'), ('お母さんが入院なさったという風に人から伺いましたが、いかがですか。', 'I heard that your mother has been  hospitalized, but how is she?'), ('教育改善のためなら、いくらお金を使ってもいい、という風になればいいんですがね。', 'I wish things could change in such a way that we can spend as much money as we want to, if it is for educational improvement.')], 'Image Notes': 'https://postautistic.github.io/img/Intermediate風に.png'}"
220,がち,gachi,A suffix to express an undesirable tendency in someone or something.Tend to; be prone to; be apt to; be liable to; be subject to; often,entries/221.html,I. 47,"{'Explanation': 'No explanation available', 'Example Sentences': [('田中君は最近授業を休みがちだ。', 'Tanaka tends to miss classes these days.'), ('それは日本に短期間滞在した外国人にありがちな誤解だ。', ""That's the kind of misunderstanding which foreigners who stay in Japan for a short period of time are subject to.""), ('私は小さい時病気がちでした。', 'I was often ill when I was very young.'), ('この辺りは昼間留守がちの家が多い。', 'Around here many people are often away from  their houses during the day. (literally: Around here there are many houses  which residents are often away from during the day.)'), ('夏はややもすると塩分が不足しがちだ。', 'Our bodies are apt to lack salt in the  summer.'), ('この時計は最近遅れがちだ。', 'This watch tends to lose time these days.'), ('人はともすると自分の都合いいように物事を考えがちだ。', 'People tend to think (about things) in a way  that suits themselves.'), ('若いうちはとかく物事一途に考えがちだ。', 'Young people tend to think (about things) too  seriously and narrow-mindedly.'), ('私は最近週末もうちを空けがちです。', 'These days I seldom stay home even on  weekends.'), ('これはアメリカ人の学生が犯しがちな間違いだ。', 'This is the kind of mistake which American  students are apt to make.'), ('明日は曇りがちの天気でしょう。', 'It will be mostly cloudy tomorrow.'), ('私のクラスには病気がちの学生が何人かいる。', 'There are some students in my class who often  get ill.'), ('彼女は遠慮がちに話した。', 'She talked hesitantly (literally: with a  tendency to hesitate).')], 'Image Notes': 'https://postautistic.github.io/img/Intermediateがち.png'}"
221,がたい,gatai,An auxiliary adjective which expresses the idea that for someone to do something is virtually impossible or impossible.Cannot; un—able; can hardly; difficult to; impossible,entries/222.html,I. 50,"{'Explanation': 'No explanation available', 'Example Sentences': [('彼のしたことは許しがたい。', 'What he did is unforgivable.'), ('この旅行は私にとって忘れがたい思い出になるだろう。', 'This trip will be an unforgettable one  (literally: memory) for me.'), ('彼の行為は理解しがたい。', 'His behaviour is hard to understand.'), ('あの先生は偉すぎて私には近寄りがたい。', 'That professor is so respected that I can  hardly approach him.'), ('この二つの作品は甲乙付けがたい。', 'Between these two works, it is hard to say  that one is better than the other.'), ('このプロジェクトは成功したとは言いがたい。', 'It is hard to say that this project was a  success.'), ('ジョーンズ氏は得がたい人物だ。', 'Mr. Jones is an irreplaceable person  (literally: a person hard to get).'), ('我々は彼の犯行に関する動かしがたい証拠をつかんだ。', 'We obtained an indisputable piece of evidence  concerning his crime.'), ('私は過去に彼から耐えがたい屈辱を受けた。', 'I was intolerably humiliated by him in the  past. (literally: received an intolerable humiliation from him.)')], 'Image Notes': 'https://postautistic.github.io/img/Intermediateがたい.png'}"
222,逆に,gyakuni,"An adverb to introduce an event which takes place contrary to one's expectation/intention, or an action or event which is converse to that stated in the preceding sentence or clause.Contrary to one's expectation; contrary to one's intention; conversely",entries/223.html,I. 53,"{'Explanation': 'No explanation available', 'Example Sentences': [('薬を飲んだら、逆に熱が出た。', 'Contrary to expectations, when I took  medicine, I got a fever.'), ('叱られると思ったのに、逆にほめられた。', 'I expected to be scolded but, contrary to my  expectation, I was praised.'), ('会話を強調すると文法が不正確になる。逆に文法を強調すると話せなくなる。', '1. If we emphasize conversation, their  grammar becomes inaccurate.       2. Conversely,  if we emphasize grammar, they are (literally: become) unable to speak.'), ('しばらく練習をしなかったら、逆に成績が伸びた。', ""I didn't practice for some time; then,  contrary to expectations, my performance improved.""), ('寝すぎると、元気にならないで、逆に疲れてしまう。', ""If you sleep too much, you don't feel well;  instead (literally: conversely), you feel tired.""), ('文句を言ってやろうと思っていたら、逆に文句を言われてしまった。', 'I was thinking of complaining; then, contrary  to my intention, I had to listen to complaints.'), ('一生懸命仕事をしたのに、逆に仲間に嫌われてしまった。', 'I worked very hard, but, contrary to  expectations, my peers hated me.'), ('ガールフレンドを喜ばせようとしたのに、逆に怒らせてしまった。', 'I tried to please my girlfriend, but,  contrary to my intention, I made her angry.'), ('その試験に落ちるだろうと思っていたのに、逆に一番で通ってしまった。', 'I was expecting to fail the exam, but,  contrary to my expectation, I passed it in first place.'), ('人に親切にすることは一般にいいことだと考えられている。しかし、親切にすることが、逆に人を傷つけることもある。', ""In general, being kind to people is  considered to be a good thing. However, contrary to one's intention, being kind  sometimes hurts people.""), ('この子は優しくすると付け上がる。逆に厳しくするとすぐ泣く。', 'If I try to be gentle to the boy, he takes advantage of my gentleness. Conversely, if I try to be strict, he cries readily.'), ('いい演技をする為には緊張しすぎてはいけない。しかし、逆にリラックスしすぎてもいい演技は出来ない。', ""In order to perform well, you mustn't be too  tense. But, conversely, if you are too relaxed, you cannot perform well,  either."")], 'Image Notes': 'https://postautistic.github.io/img/Intermediate逆に.png'}"
223,ほど,hodo,"A particle which indicates the extent or the degree to which someone/something does something or is in some state.The ~, the ~; as; to the extent",entries/224.html,I. 57,"{'Explanation': 'No explanation available', 'Example Sentences': [('この音楽は舞台に近いほど聞きやすい。', 'The closer (you sit) to the stage, the easier  this music is to hear.'), ('上空に行くほど酸素が薄くなる。', 'Oxygen is less dense at higher altitudes.  (literally: Oxygen becomes thinner as you go higher / the extent to which you  go higher in the air.)'), ('私は難しい仕事ほどやる気が出てくる。', 'I get more motivated by a harder job.'), ('子供は小言を言うほど反発するものだ。', 'The more you nag children, the more they  disobey you.'), ('私は静かなほど落ち着かない。', 'The quieter it is, the more uneasy I feel.'), ('駅に近くなるほど家賃が高くなる。', 'The closer to the station, the higher the  rent.'), ('運動するほど体の調子が変になる。', 'The more I exercise, the worse I feel.'), ('元気な人ほど無理をしがちだ。', 'Stronger people tend to strain themselves  more.'), ('あまり働かない者ほど不平が多い。', 'Lazier people complain more.')], 'Image Notes': 'https://postautistic.github.io/img/Intermediateほど.png'}"
224,以外,igai,"A dependent noun which means ""something/someone other than"".Other than; except (for); but; besides; as well as",entries/225.html,I. 60,"{'Explanation': 'No explanation available', 'Example Sentences': [('山田さん以外の人はみんなそのことを知っています。', 'Everybody except Yamada knows it.'), ('日本語以外に何か外国語が話せますか。', 'Can you speak any foreign language besides  Japanese?'), ('私には酒を飲む以外に何も楽しみがない。', 'I have nothing to enjoy other than drinking.'), ('私は日本酒以外の酒は飲まない。', 'I do not drink any alcohol but sake.'), ('我々の会社では現在オーストラリア以外の国と取引はない。', 'At present our company is not dealing with  any countries but Australia.'), ('アメリカ以外の国からも沢山研究者が来た。', 'Many researchers came from countries other  than America, too.'), ('原因はこれ以外に考えられない。', ""I can't think of any causes other than this.""), ('私は散歩以外にも毎日軽い運動をしている。', 'I take (other) light exercise every day as  well as taking a walk.'), ('ここで待っている以外ない。', 'There is nothing to do but wait here.  (literally: There is no other way but waiting here.)'), ('安い以外に何かいいことがありますか。', 'Is there any merit besides the price  (literally: besides the fact that it is cheap)?'), ('この分は少し漢字の間違いがあるが、それ以外は完全だ。', 'This sentence (or passage) contains a few kanji  mistakes, but other than that, it is perfect.'), ('従業員以外立入禁止。[Door sign]', '[Door sign] Employees only. (literally: Entry  of those other than employees is prohibited.)')], 'Image Notes': 'https://postautistic.github.io/img/Intermediate以外.png'}"
