Index,Word,Kana,Meaning,Part of Speech,Example JP,Example EN,Jisho Link
1860,ジャガイモ,ジャガイモ,potato,Noun,ポテトサラダを作るから、ジャガイモを買ってきて。,"I'm going to make potato salad, so go and buy some potatoes.",http://jisho.org/search/%E3%82%B8%E3%83%A3%E3%82%AC%E3%82%A4%E3%83%A2
1861,牛乳,ぎゅうにゅう,milk,Noun,私は毎朝、牛乳を飲む。,I drink milk every morning.,http://jisho.org/search/%E7%89%9B%E4%B9%B3
1862,玄関,げんかん,"entrance, door",Noun,玄関に花を飾りました。,I decorated the entrance with flowers.,http://jisho.org/search/%E7%8E%84%E9%96%A2
1863,眼鏡,めがね,"glasses, judgment (when めがね)",Noun,彼は眼鏡をかけています。,He's wearing glasses.,http://jisho.org/search/%E7%9C%BC%E9%8F%A1
1864,眠い,ねむい,sleepy,Adjective,今日はとても眠いです。,I'm very sleepy today.,http://jisho.org/search/%E7%9C%A0%E3%81%84
1865,ソファー,ソファー,"sofa, sofa bed",Noun,このソファーは気持ちがいい。,This sofa is very comfortable.,http://jisho.org/search/%E3%82%BD%E3%83%95%E3%82%A1%E3%83%BC
1866,眠る,ねむる,sleep,Verb,昨日は8時間眠りました。,I slept for eight hours yesterday.,http://jisho.org/search/%E7%9C%A0%E3%82%8B
1867,封筒,ふうとう,envelope,Noun,その手紙を封筒に入れた。,I put that letter in an envelope.,http://jisho.org/search/%E5%B0%81%E7%AD%92
1868,出掛ける,でかける,"go out, be about to go out",Verb,主人はもう出掛けました。,My husband has already gone out.,http://jisho.org/search/%E5%87%BA%E6%8E%9B%E3%81%91%E3%82%8B
1869,掛かる,かかる,"to hang, to take (a resource, e.g. money)",Verb,壁に大きな時計が掛かっています。,There's a big clock hanging on the wall.,http://jisho.org/search/%E6%8E%9B%E3%81%8B%E3%82%8B
1870,たばこ,たばこ,"tobacco, cigarette",Noun,彼はたばこを吸いません。,He doesn't smoke.,http://jisho.org/search/%E3%81%9F%E3%81%B0%E3%81%93
1871,掛け算,かけざん,multiplication,Verbal Noun,弟は掛け算を習っている。,My little brother is learning his multiplication tables.,http://jisho.org/search/%E6%8E%9B%E3%81%91%E7%AE%97
1872,拍手,はくしゅ,"applause, clapping",Verbal Noun,大きな拍手が上がった。,There was a big round of applause.,http://jisho.org/search/%E6%8B%8D%E6%89%8B
1873,掃除,そうじ,cleaning; sweeping,Verbal Noun,週末は部屋の掃除をしました。,I cleaned my room on the weekend.,http://jisho.org/search/%E6%8E%83%E9%99%A4
1874,掃く,はく,"sweep, brush",Verb,床をほうきで掃きました。,I swept the floor with a broom.,http://jisho.org/search/%E6%8E%83%E3%81%8F
1875,ちょうど,ちょうど,just; right; exactly,Adverb,値段はちょうど3万円です。,"The price is exactly 30,000 yen.",http://jisho.org/search/%E3%81%A1%E3%82%87%E3%81%86%E3%81%A9
1876,掃除機,そうじき,vacuum cleaner,Noun,掃除機が壊れた。,The vacuum cleaner broke.,http://jisho.org/search/%E6%8E%83%E9%99%A4%E6%A9%9F
1877,握る,にぎる,"to grip; to make (e.g., hand-rolled sushi balls)",Verb,少女は母親の手を握った。,The girl clasped her mother's hand.,http://jisho.org/search/%E6%8F%A1%E3%82%8B
1878,握手,あくしゅ,handshake,Verbal Noun,彼らは握手をした。,They shook hands.,http://jisho.org/search/%E6%8F%A1%E6%89%8B
1879,迎える,むかえる,"welcome, go out to meet, invite",Verb,姉が空港まで迎えに来てくれます。,My big sister is coming to pick me up at the airport.,http://jisho.org/search/%E8%BF%8E%E3%81%88%E3%82%8B
1880,ちょっと,ちょっと,"just a moment, just a little, easily",Adverb,もうちょっと塩を入れて。,Put in a little more salt.,http://jisho.org/search/%E3%81%A1%E3%82%87%E3%81%A3%E3%81%A8
1881,お巡りさん,おまわりさん,policeman,Noun,あのお巡りさんに道を聞きましょう。,Let's ask that policeman how to get there.,http://jisho.org/search/%E3%81%8A%E5%B7%A1%E3%82%8A%E3%81%95%E3%82%93
1882,幾つ,いくつ,"how many?, how old?",Noun,娘さんは幾つになりましたか。,How old is your daughter now?,http://jisho.org/search/%E5%B9%BE%E3%81%A4
1883,幾ら,いくら,how much?; how many?,Noun,この靴は幾らですか。,How much are these shoes?,http://jisho.org/search/%E5%B9%BE%E3%82%89
1884,冗談,じょうだん,joke,Noun,冗談は止めてください。,Please stop joking.,http://jisho.org/search/%E5%86%97%E8%AB%87
1885,つく,つく,to be lit (e.g. electricity comes on); to be lighted,Verb,部屋の電気がついています。,The room light is on.,http://jisho.org/search/%E3%81%A4%E3%81%8F
1886,穴,あな,hole,Noun,靴下に穴が開いている。,There are holes in my socks.,http://jisho.org/search/%E7%A9%B4
1887,寂しい,さびしい,lonely; solitary,Adjective,これは寂しい曲ですね。,This is a sad song.,http://jisho.org/search/%E5%AF%82%E3%81%97%E3%81%84
1888,丁寧,ていねい,"polite, courteous, careful",Adjectival Noun,彼女はいつも丁寧に仕事をします。,She always works carefully.,http://jisho.org/search/%E4%B8%81%E5%AF%A7
1889,可哀相,かわいそう,"poor, pitiable, pathetic",Adjectival Noun,その可哀相な子供たちは食べるものがない。,Those poor children have nothing to eat.,http://jisho.org/search/%E5%8F%AF%E5%93%80%E7%9B%B8
1890,てんぷら,てんぷら,"tempura, Japanese deep-fried breaded food",Noun,私はえびのてんぷらが好きです。,I like shrimp tempura.,http://jisho.org/search/%E3%81%A6%E3%82%93%E3%81%B7%E3%82%89
1891,怪我,けが,injury,Verbal Noun,彼女は腕を怪我した。,She injured her arm.,http://jisho.org/search/%E6%80%AA%E6%88%91
1892,我慢,がまん,"patience, self-restraint",Verbal Noun,彼のわがままには我慢できません。,I can't put up with his selfishness.,http://jisho.org/search/%E6%88%91%E6%85%A2
1893,幼稚園,ようちえん,kindergarten,Noun,娘は幼稚園に通っています。,My daughter goes to kindergarten.,http://jisho.org/search/%E5%B9%BC%E7%A8%9A%E5%9C%92
1894,隠れる,かくれる,to hide; to conceal oneself; to disappear,Verb,太陽が雲に隠れた。,The sun hid behind the clouds.,http://jisho.org/search/%E9%9A%A0%E3%82%8C%E3%82%8B
1895,とんとん,とんとん,tapping,Adverb,母の肩をとんとんたたいた。,I patted my mother's shoulders as a massage.,http://jisho.org/search/%E3%81%A8%E3%82%93%E3%81%A8%E3%82%93
1896,日陰,ひかげ,the shade,Noun,暑いので日陰で休みましょう。,It's hot so let's take a rest in the shade.,http://jisho.org/search/%E6%97%A5%E9%99%B0
1897,随分,ずいぶん,"extremely, considerably",Adverb,随分早く終わったね。,"You finished really early, didn't you?",http://jisho.org/search/%E9%9A%8F%E5%88%86
1898,頑張る,がんばる,to persevere; to keep at it; be tenacious,Verb,明日の試験、頑張ってね。,Good luck on tomorrow's exam.,http://jisho.org/search/%E9%A0%91%E5%BC%B5%E3%82%8B
1899,頃,ころ,(approximate) time,Noun,子供の頃、よくその公園で遊んだ。,I often played in that park when I was a kid.,http://jisho.org/search/%E9%A0%83
1900,にんじん,にんじん,carrot,Noun,私はにんじんが嫌いだ。,I hate carrots.,http://jisho.org/search/%E3%81%AB%E3%82%93%E3%81%98%E3%82%93
1901,この頃,このごろ,"now, these days, recently",Noun,この頃、よく肩が凝る。,These days I often get stiff shoulders.,http://jisho.org/search/%E3%81%93%E3%81%AE%E9%A0%83
1902,消防署,しょうぼうしょ,fire station,Noun,この町には消防署が1つしかありません。,There's only one fire station in this town.,http://jisho.org/search/%E6%B6%88%E9%98%B2%E7%BD%B2
1903,尋ねる,たずねる,"inquire, search for",Verb,彼女は道を尋ねた。,She asked for directions.,http://jisho.org/search/%E5%B0%8B%E3%81%AD%E3%82%8B
1904,缶詰,かんづめ,"canned goods, confining someone (e.g. so they can concentrate on work)",Noun,缶詰のフルーツはとても甘い。,Canned fruit is very sweet.,http://jisho.org/search/%E7%BC%B6%E8%A9%B0
1905,ぬるい,ぬるい,"tepid, lukewarm",Adjective,風呂がぬるかった。,The bath was lukewarm.,http://jisho.org/search/%E3%81%AC%E3%82%8B%E3%81%84
1906,缶,かん,"can, tin",Noun,コーヒーはその缶に入っています。,The coffee is in that can.,http://jisho.org/search/%E7%BC%B6
1907,腐る,くさる,"rot, corrode",Verb,リンゴが腐っている。,This apple's rotten.,http://jisho.org/search/%E8%85%90%E3%82%8B
1908,豆腐,とうふ,tofu,Noun,私は毎日豆腐を食べます。,I eat tofu every day.,http://jisho.org/search/%E8%B1%86%E8%85%90
1909,床,ゆか,floor,Noun,床がぬれている。,The floor is wet.,http://jisho.org/search/%E5%BA%8A
1910,パーセント,パーセント,percent,Noun,この村の80パーセントは老人です。,Eighty percent of the people in this village are elderly.,http://jisho.org/search/%E3%83%91%E3%83%BC%E3%82%BB%E3%83%B3%E3%83%88
1911,床屋,とこや,"barber, barbershop",Noun,昨日床屋で髪を切った。,Yesterday I had my hair cut at the barber's.,http://jisho.org/search/%E5%BA%8A%E5%B1%8B
1912,畳,たたみ,"tatami, mat",Noun,そのホテルには畳の部屋がある。,That hotel has tatami rooms.,http://jisho.org/search/%E7%95%B3
1913,畳む,たたむ,"to fold (clothes, umbrella), to close (a shop)",Verb,布団を畳んでください。,Please fold up the futon.,http://jisho.org/search/%E7%95%B3%E3%82%80
1914,干す,ほす,to dry; to air out,Verb,母は洗濯物を干しています。,My mother's hanging out the laundry to dry.,http://jisho.org/search/%E5%B9%B2%E3%81%99
1915,ひざ,ひざ,knee,Noun,スキーでひざを怪我しました。,I injured my knee skiing.,http://jisho.org/search/%E3%81%B2%E3%81%96
1916,帽子,ぼうし,"cap, hat",Noun,暑いので帽子を被りましょう。,You should wear a hat because it's hot.,http://jisho.org/search/%E5%B8%BD%E5%AD%90
1917,是非,ぜひ,"by all means, certainly",Adverb,是非、うちに来てください。,By all means come to my house.,http://jisho.org/search/%E6%98%AF%E9%9D%9E
1918,敬語,けいご,"honorific language, polite speech",Noun,お客様には敬語を使いなさい。,Use polite language to customers.,http://jisho.org/search/%E6%95%AC%E8%AA%9E
1919,尊敬,そんけい,"respect, esteem, honor",Verbal Noun,祖父は家族みんなに尊敬されています。,My grandfather is respected by the whole family.,http://jisho.org/search/%E5%B0%8A%E6%95%AC
1920,ひじ,ひじ,elbow,Noun,彼はひじに怪我をした。,He injured his elbow.,http://jisho.org/search/%E3%81%B2%E3%81%98
1921,敷く,しく,to spread out; to lay out,Verb,生まれて初めて布団を敷いた。,I laid out the futon for the first time in my life.,http://jisho.org/search/%E6%95%B7%E3%81%8F
1922,雷,かみなり,"thunder, lightning",Noun,雷が鳴っています。,Thunder is rumbling.,http://jisho.org/search/%E9%9B%B7
1923,零,れい,"zero, naught",Noun,今ちょうど零時です。,It's exactly midnight now.,http://jisho.org/search/%E9%9B%B6
1924,仕舞う,しまう,finish; put away,Verb,彼女は大切な書類を机に仕舞った。,She put the important documents away in her desk.,http://jisho.org/search/%E4%BB%95%E8%88%9E%E3%81%86
1925,ひも,ひも,"laces, string, rope",Noun,靴のひもが切れた。,The shoe lace is broken.,http://jisho.org/search/%E3%81%B2%E3%82%82
1926,踊る,おどる,to dance (orig. a hopping dance),Verb,彼女はクラブで踊るのが好きです。,She likes to dance at the club.,http://jisho.org/search/%E8%B8%8A%E3%82%8B
1927,踊り,おどり,"dance, dancing",Noun,この踊りは易しいですよ。,This dance is easy.,http://jisho.org/search/%E8%B8%8A%E3%82%8A
1928,踏む,ふむ,"step on, tread on",Verb,運転手がブレーキを踏んだ。,The driver stepped on the brake.,http://jisho.org/search/%E8%B8%8F%E3%82%80
1929,踏切,ふみきり,railroad crossing,Noun,その踏切は長い。,This railroad crossing has a long signal.,http://jisho.org/search/%E8%B8%8F%E5%88%87
1930,まく,まく,"scatter, plant",Verb,日本では、二月に豆をまく行事がある。,"In Japan, during February, there's a bean throwing festival.",http://jisho.org/search/%E3%81%BE%E3%81%8F
1931,蹴る,ける,kick,Verb,ゴールキーパーがボールを蹴った。,The goalkeeper kicked the ball.,http://jisho.org/search/%E8%B9%B4%E3%82%8B
1932,食堂,しょくどう,"dining hall, cafeteria, restaurant",Noun,大学の食堂は安い。,The university cafeteria is cheap.,http://jisho.org/search/%E9%A3%9F%E5%A0%82
1933,猫,ねこ,"cat, feline",Noun,私は猫が大好きです。,I love cats.,http://jisho.org/search/%E7%8C%AB
1934,文章,ぶんしょう,"writing, writing style",Noun,彼は文章がとてもうまい。,His writing is very good.,http://jisho.org/search/%E6%96%87%E7%AB%A0
1935,やかん,やかん,kettle,Noun,やかんでお湯を沸かしました。,I boiled water in the kettle.,http://jisho.org/search/%E3%82%84%E3%81%8B%E3%82%93
1936,丈夫,じょうぶ,healthy; robust,Adjectival Noun,祖母は身体が丈夫だ。,My grandmother is physically strong.,http://jisho.org/search/%E4%B8%88%E5%A4%AB
1937,又,また,"again, also, or",Adverb,明日、また来ます。,I'll come again tomorrow.,http://jisho.org/search/%E5%8F%88
1938,お祖父さん,おじいさん,grandfather,Noun,私のお祖父さんは毎日散歩します。,My grandfather takes a walk every day.,http://jisho.org/search/%E3%81%8A%E7%A5%96%E7%88%B6%E3%81%95%E3%82%93
1939,お祖母さん,おばあさん,grandmother,Noun,彼女はお祖母さんと住んでいる。,She lives with her grandmother.,http://jisho.org/search/%E3%81%8A%E7%A5%96%E6%AF%8D%E3%81%95%E3%82%93
1940,ようこそ,ようこそ,welcome,Adverb,日本へようこそ。,Welcome to Japan.,http://jisho.org/search/%E3%82%88%E3%81%86%E3%81%93%E3%81%9D
1941,祖父,そふ,grandfather,Noun,祖父は元気です。,My grandfather is well.,http://jisho.org/search/%E7%A5%96%E7%88%B6
1942,祖母,そぼ,grandmother,Noun,祖母は京都で生まれました。,My grandmother was born in Kyoto.,http://jisho.org/search/%E7%A5%96%E6%AF%8D
1943,邪魔,じゃま,hindrance; obstacle (orig. demon who obstructs humans),Adjectival Noun,邪魔です、どいてください。,"You're in the way, so please move.",http://jisho.org/search/%E9%82%AA%E9%AD%94
1944,風邪薬,かぜぐすり,remedy for a cold,Noun,この風邪薬を飲みなさい。,Take this cold medicine.,http://jisho.org/search/%E9%A2%A8%E9%82%AA%E8%96%AC
1945,ウェーター,ウェーター,waiter,Noun,ウェーターが水を運んできました。,The waiter brought some water.,http://jisho.org/search/%E3%82%A6%E3%82%A7%E3%83%BC%E3%82%BF%E3%83%BC
1946,風呂屋,ふろや,"bathhouse, public bath",Noun,昨日、友達とお風呂屋さんに行った。,I went with a friend to a public bath yesterday.,http://jisho.org/search/%E9%A2%A8%E5%91%82%E5%B1%8B
1947,風呂,ふろ,bath,Noun,父は今お風呂に入っています。,My father's in the bath now.,http://jisho.org/search/%E9%A2%A8%E5%91%82
1948,昭和,しょうわ,Showa era,Noun,私の両親は昭和生まれです。,My parents were born in the Showa era.,http://jisho.org/search/%E6%98%AD%E5%92%8C
1949,紫,むらさき,purple,Noun,彼女は紫のドレスを着ていた。,She wore a purple dress.,http://jisho.org/search/%E7%B4%AB
1950,そんなに,そんなに,"that, so (amount/extent)",Adverb,一度にそんなにたくさんはできない。,You can't do that much at one time.,http://jisho.org/search/%E3%81%9D%E3%82%93%E3%81%AA%E3%81%AB
1951,紅茶,こうちゃ,black tea,Noun,温かい紅茶が飲みたい。,I want to drink hot tea.,http://jisho.org/search/%E7%B4%85%E8%8C%B6
1952,梅雨,つゆ,"""rainy season (""""the plum rain"""")""",Noun,梅雨は6月頃です。,The rainy season comes around June.,http://jisho.org/search/%E6%A2%85%E9%9B%A8
1953,桃,もも,"peach, peach tree",Noun,私の一番好きな果物は桃です。,My favorite fruit is peaches.,http://jisho.org/search/%E6%A1%83
1954,遭う,あう,"meet with, encounter (遭う may have an undesirable nuance compared to 会う)",Verb,彼は交通事故に遭った。,He had a traffic accident.,http://jisho.org/search/%E9%81%AD%E3%81%86
1955,枕,まくら,pillow,Noun,私は低い枕が好きです。,I like thin pillows.,http://jisho.org/search/%E6%9E%95
1956,嘘,うそ,lie,Noun,嘘をついてはいけません。,You mustn't lie.,http://jisho.org/search/%E5%98%98
1957,遠慮,えんりょ,restraint; prudence; forethought,Verbal Noun,私は遠慮します。,"No thanks, I'll pass (on that).",http://jisho.org/search/%E9%81%A0%E6%85%AE
1958,叱る,しかる,to scold,Verb,父親が子供を叱っている。,That father is scolding his children.,http://jisho.org/search/%E5%8F%B1%E3%82%8B
1959,傘,かさ,"umbrella, parasol",Noun,電車に傘を忘れた。,I left my umbrella on the train.,http://jisho.org/search/%E5%82%98
1960,お嬢さん,おじょうさん,"young lady, your daughter",Noun,お嬢さんはおいくつですか。,How old is your daughter?,http://jisho.org/search/%E3%81%8A%E5%AC%A2%E3%81%95%E3%82%93
1961,年賀状,ねんがじょう,New Year's card,Noun,昨日、年賀状を出しました。,I sent my New Year cards yesterday.,http://jisho.org/search/%E5%B9%B4%E8%B3%80%E7%8A%B6
1962,賑やか,にぎやか,bustling; busy; lively,Adjectival Noun,浅草は賑やかな街です。,Asakusa is a lively town.,http://jisho.org/search/%E8%B3%91%E3%82%84%E3%81%8B
1963,蚊,か,mosquito,Noun,蚊に足を刺された。,I was bitten on my foot by a mosquito.,http://jisho.org/search/%E8%9A%8A
1964,拭く,ふく,"wipe, dry",Verb,タオルで体を拭きました。,I dried myself with a towel.,http://jisho.org/search/%E6%8B%AD%E3%81%8F
1965,挨拶,あいさつ,"greet, greeting",Verbal Noun,彼女は笑顔で挨拶した。,She greeted me with a smile.,http://jisho.org/search/%E6%8C%A8%E6%8B%B6
1966,伴う,ともなう,"accompany, go with",Verb,その仕事は危険を伴う。,Danger comes with the job.,http://jisho.org/search/%E4%BC%B4%E3%81%86
1967,巻く,まく,"roll up, wind, wrap",Verb,彼は頭にタオルを巻いていた。,He had a towel tied around his head.,http://jisho.org/search/%E5%B7%BB%E3%81%8F
1968,靴,くつ,"shoes, boots",Noun,靴が汚れた。,My shoes got dirty.,http://jisho.org/search/%E9%9D%B4
1969,靴下,くつした,"socks, stockings",Noun,この靴下は3足で1000円です。,"These socks are 1,000 yen for 3 pairs.",http://jisho.org/search/%E9%9D%B4%E4%B8%8B
1970,磨く,みがく,to polish; to shine; to brush (e.g. teeth),Verb,靴を磨いてください。,Please polish your shoes.,http://jisho.org/search/%E7%A3%A8%E3%81%8F
1971,歯磨き,はみがき,"toothpaste, brushing one's teeth",Noun,歯磨きはしましたか。,Have you brushed your teeth?,http://jisho.org/search/%E6%AD%AF%E7%A3%A8%E3%81%8D
1972,廊下,ろうか,corridor; hallway,Noun,廊下は走らないでください。,Don't run in the hallway.,http://jisho.org/search/%E5%BB%8A%E4%B8%8B
1973,瓶,びん,bottle; jar,Noun,瓶ビールを注文した。,I ordered a bottle of beer.,http://jisho.org/search/%E7%93%B6
1974,褒める,ほめる,"praise, commend",Verb,頑張ったので褒められました。,He was praised because worked hard.,http://jisho.org/search/%E8%A4%92%E3%82%81%E3%82%8B
1975,元旦,がんたん,New Year's Day,Noun,元旦に彼から年賀状が来た。,I got a New Year's card from him on January 1.,http://jisho.org/search/%E5%85%83%E6%97%A6
1976,袖,そで,sleeve,Noun,このシャツは袖が短い。,This shirt has short sleeves.,http://jisho.org/search/%E8%A2%96
1977,長袖,ながそで,clothes with long sleeves,Noun,今日は寒いので長袖を着ました。,I put on a long-sleeved shirt because it's cold today.,http://jisho.org/search/%E9%95%B7%E8%A2%96
1978,半袖,はんそで,short-sleeves,Noun,今日は、半袖のシャツを着よう。,I'll put on a short-sleeved shirt today.,http://jisho.org/search/%E5%8D%8A%E8%A2%96
1979,馬鹿,ばか,"fool, nonsense",Adjectival Noun,私は馬鹿だった。,I was foolish.,http://jisho.org/search/%E9%A6%AC%E9%B9%BF
1980,凄い,すごい,"wonderful, great, incredible",Adjective,凄い雨になった。,It began raining cats and dogs.,http://jisho.org/search/%E5%87%84%E3%81%84
1981,剃る,そる,shave,Verb,父は毎日髭を剃ります。,My father shaves every day.,http://jisho.org/search/%E5%89%83%E3%82%8B
1982,喧嘩,けんか,"fight, quarrel, argument",Verbal Noun,喧嘩はやめて。,Stop fighting.,http://jisho.org/search/%E5%96%A7%E5%98%A9
1983,叩く,たたく,to strike; to clap,Verb,彼は子供のおしりを叩いた。,He slapped his child on the bottom.,http://jisho.org/search/%E5%8F%A9%E3%81%8F
1984,噛む,かむ,"bite, chew",Verb,もっとよく噛みなさい。,Chew your food better.,http://jisho.org/search/%E5%99%9B%E3%82%80
1985,味噌汁,みそしる,miso soup,Noun,私は毎日味噌汁を飲みます。,I have miso soup every day.,http://jisho.org/search/%E5%91%B3%E5%99%8C%E6%B1%81
1986,姪,めい,niece,Noun,私の姪は3才です。,My nieces are three years old.,http://jisho.org/search/%E5%A7%AA
1987,苺,いちご,strawberry,Noun,この苺はとても甘い。,This strawberry is very sweet.,http://jisho.org/search/%E8%8B%BA
1988,茄子,なす,eggplant,Noun,夕飯に茄子の天ぷらを食べました。,I ate eggplant tempura for dinner.,http://jisho.org/search/%E8%8C%84%E5%AD%90
1989,逢う,あう,"meet (like 会う; 逢う is often used for close friends, etc. and may be associated with drama or pathos)",Verb,ついに素晴らしい女性に逢えた。,I've finally met a wonderful woman.,http://jisho.org/search/%E9%80%A2%E3%81%86
1990,椅子,いす,chair,Noun,そのお年寄りは椅子に座った。,That old person sat on a chair.,http://jisho.org/search/%E6%A4%85%E5%AD%90
1991,痩せる,やせる,"lose weight, become thin",Verb,私は少し痩せました。,I've lost a little weight.,http://jisho.org/search/%E7%97%A9%E3%81%9B%E3%82%8B
1992,箸,はし,chopsticks,Noun,箸を上手に使えるよ。,I'm good at using chopsticks.,http://jisho.org/search/%E7%AE%B8
1993,糊,のり,"glue, starch",Noun,糊で2枚の紙を貼り合わせた。,I stuck two sheets of paper together with glue.,http://jisho.org/search/%E7%B3%8A
1994,醤油,しょうゆ,soy sauce,Noun,もう少し醤油を足してください。,Please add a little more soy sauce.,http://jisho.org/search/%E9%86%A4%E6%B2%B9
1995,鋏,はさみ,"scissors, pincers, tongs",Noun,この鋏はよく切れる。,These scissors cut well.,http://jisho.org/search/%E9%8B%8F
1996,鞄,かばん,"bag, handbag, briefcase",Noun,その黒い鞄は僕のです。,The black briefcase is mine.,http://jisho.org/search/%E9%9E%84
1997,顎,あご,"jaw, chin",Noun,顎が痛い。,My jaw hurts.,http://jisho.org/search/%E9%A1%8E
1998,飴,あめ,"candy, sweets",Noun,缶に飴が入っています。,There's some candy in the can.,http://jisho.org/search/%E9%A3%B4
1999,石鹸,せっけん,soap,Noun,石鹸で手を洗ってください。,Please wash your hands with soap.,http://jisho.org/search/%E7%9F%B3%E9%B9%B8
2000,一時,いちじ,temporarily,Adverb,お店は一時休業になったんだ。,The store was temporarily closed.,http://jisho.org/search/%E4%B8%80%E6%99%82
2001,月日,がっぴ,date,Noun,ここに生年月日を記入してください。,Please fill in your date of birth here.,http://jisho.org/search/%E6%9C%88%E6%97%A5
2002,金もうけ,かねもうけ,making money,Verbal Noun,金もうけが彼の趣味だ。,Moneymaking is his hobby.,http://jisho.org/search/%E9%87%91%E3%82%82%E3%81%86%E3%81%91
2003,先に,さきに,"before, ahead",Adverb,では、私たちは先に出発します。,"Right, we will set off before you.",http://jisho.org/search/%E5%85%88%E3%81%AB
2004,先日,せんじつ,"the other day, a few days ago",Noun,先日の件はどうなりましたか。,What happened about that matter the other day?,http://jisho.org/search/%E5%85%88%E6%97%A5
2005,今日,こんにち,"today, these days (written same as きょう)",Noun,今日の日本の若者は欧米化している。,Young people in Japan today are westernized.,http://jisho.org/search/%E4%BB%8A%E6%97%A5
2006,今ごろ,いまごろ,about this time,Noun,今ごろそんなこと言わないで。,Don't say such a thing now.,http://jisho.org/search/%E4%BB%8A%E3%81%94%E3%82%8D
2007,ケース,ケース,case,Noun,このケースにはCDが50枚入ります。,50 CDs will fit in this case.,http://jisho.org/search/%E3%82%B1%E3%83%BC%E3%82%B9
2008,今にも,いまにも,at any moment; soon,Adverb,今にも雨が降りそうですね。,It looks like it's going to rain any moment now.,http://jisho.org/search/%E4%BB%8A%E3%81%AB%E3%82%82
2009,今に,いまに,"before long, someday",Adverb,あなたも今に分かるでしょう。,You will understand one day.,http://jisho.org/search/%E4%BB%8A%E3%81%AB
2010,行き来,いきき,coming and going; keeping in touch,Verbal Noun,最近彼のところに行き来してないの。,I haven't been to his place lately.,http://jisho.org/search/%E8%A1%8C%E3%81%8D%E6%9D%A5
2011,行,ぎょう,"line, row",Noun,5行以内で答えを書いてください。,Please write your answer within five lines.,http://jisho.org/search/%E8%A1%8C
2012,帰す,かえす,"send home, see out",Verb,学校は生徒たちを午前中に帰したね。,The school dismissed students in the morning.,http://jisho.org/search/%E5%B8%B0%E3%81%99
2013,大いに,おおいに,"very, greatly",Adverb,大いに学び、大いに遊びなさい。,"Study hard, play hard.",http://jisho.org/search/%E5%A4%A7%E3%81%84%E3%81%AB
2014,大げさ,おおげさ,exaggerate,Adjective,彼の話は大げさだ。,His story is exaggerated.,http://jisho.org/search/%E5%A4%A7%E3%81%92%E3%81%95
2015,イメージ,イメージ,image,Verbal Noun,彼には清潔なイメージがあるね。,He has a clean image.,http://jisho.org/search/%E3%82%A4%E3%83%A1%E3%83%BC%E3%82%B8
2016,大水,おおみず,flood,Noun,その年、この地域では大水がありました。,In that year there was a flood in this area.,http://jisho.org/search/%E5%A4%A7%E6%B0%B4
2017,水中,すいちゅう,"in the water, underwater",Noun,このカメラなら水中の写真が撮れますね。,With this camera you can take underwater photographs .,http://jisho.org/search/%E6%B0%B4%E4%B8%AD
2018,小,しょう,"smallness, small size",Noun,この箱の小をください。,Please give me the small version of this box.,http://jisho.org/search/%E5%B0%8F
2019,少なくとも,すくなくとも,at least,Adverb,この仕事には少なくとも2週間必要でしょう。,At least two weeks will be needed for this job.,http://jisho.org/search/%E5%B0%91%E3%81%AA%E3%81%8F%E3%81%A8%E3%82%82
2020,少々,しょうしょう,"a little, a few",Noun,少々のことは我慢します。,I can put up with minor things.,http://jisho.org/search/%E5%B0%91%E3%80%85
2021,上がる,あがる,be completed,None,今日は仕事が早く上がったんだ。,I finished work early today.,http://jisho.org/search/%E4%B8%8A%E3%81%8C%E3%82%8B
2022,上がる,あがる,"eat, drink",Verb,冷めないうちにどうぞお上がり下さい。,Please eat it while it is still hot.,http://jisho.org/search/%E4%B8%8A%E3%81%8C%E3%82%8B
2023,せい,せい,consequence; result; blame,Noun,自分の失敗を他人のせいにするな。,Don't blame others for your failure.,http://jisho.org/search/%E3%81%9B%E3%81%84
2024,上,じょう,"upper, best",Noun,握り寿司の上を注文したよ。,I ordered the best hand-rolled sushi.,http://jisho.org/search/%E4%B8%8A
2025,上,かみ,"superiors, people in authority",Noun,お上は何を考えてるんだろうね。,What is the government planning on?,http://jisho.org/search/%E4%B8%8A
2026,下さる,くださる,"to give, to kindly do for one",Verb,先生が手紙を下さいました。,The teacher gave me a letter.,http://jisho.org/search/%E4%B8%8B%E3%81%95%E3%82%8B
2027,下水,げすい,"sewerage, drainage",Noun,その道は今、下水の工事をしているよ。,The street is now under construction for drainage.,http://jisho.org/search/%E4%B8%8B%E6%B0%B4
2028,上下,じょうげ,top and bottom,Verbal Noun,この服は上下セットで買いました。,I bought these clothes as a top and bottoms set.,http://jisho.org/search/%E4%B8%8A%E4%B8%8B
2029,上下,うえした,above and below,Noun,彼は上下おそろいの服を着ていますね。,He is wearing a matching top and bottom.,http://jisho.org/search/%E4%B8%8A%E4%B8%8B
2030,下,げ,"lowness (of degree, value, etc.); inferiority",Noun,彼女の成績は上の下です。,Her grades are ranked at the bottom of the top group.,http://jisho.org/search/%E4%B8%8B
2031,左右,さゆう,left and right,Noun,左右を見てから横断歩道を渡りなさい。,Look left and right before crossing the pedestrian crossing.,http://jisho.org/search/%E5%B7%A6%E5%8F%B3
